date,iv_atm
2017-08-14,58.75
2017-08-16,57.5
2017-08-17,60.0
2017-08-18,50.625
2017-08-21,47.60728
2017-08-22,46.25
2017-08-23,43.75
2017-08-24,46.25
2017-08-28,56.25
2017-08-29,65.0
2017-08-30,50.0
2017-08-31,48.125
2017-09-01,49.0625
2017-09-04,51.875
2017-09-05,51.875
2017-09-06,46.875
2017-09-07,45.0
2017-09-08,45.0
2017-09-11,46.875
2017-09-12,45.0
2017-09-13,50.625
2017-09-14,47.5
2017-09-15,46.875
2017-09-18,50.0
2017-09-19,50.0
2017-09-20,51.25
2017-09-21,38.75
2017-09-22,47.5
2017-09-25,70.0
2017-09-26,67.5
2017-09-27,100.0
2017-09-28,52.5
2017-09-29,46.875
2017-10-03,48.75
2017-10-04,50.625
2017-10-05,49.375
2017-10-06,41.25
2017-10-09,47.5
2017-10-10,48.75
2017-10-11,48.75
2017-10-12,47.5
2017-10-13,53.75
2017-10-16,58.75
2017-10-17,56.25
2017-10-18,50.0
2017-10-23,62.5
2017-10-24,73.75
2017-10-25,90.0
2017-10-26,48.75
2017-10-27,48.125
2017-10-30,47.5
2017-10-31,53.4375
2017-11-01,52.8125
2017-11-02,55.0
2017-11-03,55.625
2017-11-06,52.678364
2017-11-07,51.25
2017-11-08,54.375
2017-11-09,52.5
2017-11-10,48.125
2017-11-13,53.75
2017-11-14,51.875
2017-11-15,51.875
2017-11-16,46.25
2017-11-17,46.25
2017-11-20,47.5
2017-11-21,45.625
2017-11-22,45.0
2017-11-23,42.5
2017-11-24,61.25
2017-11-27,97.5
2017-11-28,57.5
2017-11-29,85.0
2017-11-30,46.25
2017-12-01,51.25
2017-12-04,45.0
2017-12-05,44.375
2017-12-06,48.418278
2017-12-07,46.25
2017-12-08,41.858517
2017-12-11,42.585796
2017-12-12,46.25
2017-12-13,48.75
2017-12-14,53.125
2017-12-15,51.051426
2017-12-18,50.0
2017-12-19,47.5
2017-12-20,55.0
2017-12-21,61.25
2017-12-22,55.0
2017-12-26,72.5
2017-12-27,95.0
2017-12-28,56.875
2017-12-29,69.6875
2018-01-01,67.8125
2018-01-02,65.25557
2018-01-03,58.75
2018-01-04,59.375
2018-01-05,55.078514
2018-01-08,59.375
2018-01-09,54.375
2018-01-10,58.125
2018-01-11,52.94908
2018-01-12,56.25
2018-01-15,56.875
2018-01-16,85.625
2018-01-17,78.125
2018-01-18,56.25
2018-01-19,63.75
2018-01-22,65.0
2018-01-23,111.25
2018-01-24,92.5
2018-01-25,75.0
2018-01-29,70.3125
2018-01-30,66.875
2018-01-31,75.3125
2018-02-01,59.445354
2018-02-02,77.64424
2018-02-05,80.625
2018-02-06,78.125
2018-02-07,71.25
2018-02-08,63.125
2018-02-09,61.875
2018-02-12,51.25
2018-02-14,66.25
2018-02-15,71.25
2018-02-16,58.75
2018-02-19,68.75
2018-02-20,92.5
2018-02-21,52.5
2018-02-22,52.5
2018-02-23,51.875
2018-02-26,51.875
2018-02-27,51.25
2018-02-28,51.875
2018-03-01,50.625
2018-03-05,53.125
2018-03-06,55.0
2018-03-07,55.625
2018-03-08,47.5
2018-03-09,48.75
2018-03-12,48.125
2018-03-13,49.375
2018-03-14,48.75
2018-03-15,52.5
2018-03-16,52.5
2018-03-19,56.525192
2018-03-20,56.25
2018-03-21,52.5
2018-03-22,51.25
2018-03-23,61.25
2018-03-26,87.5
2018-03-27,70.0
2018-03-28,52.5
2018-04-02,50.625
2018-04-03,53.75
2018-04-04,52.03326
2018-04-05,55.0
2018-04-06,57.5
2018-04-09,61.875
2018-04-10,59.375
2018-04-11,55.291355
2018-04-12,53.125
2018-04-13,54.375
2018-04-16,57.5
2018-04-17,51.875
2018-04-18,48.75
2018-04-19,45.625
2018-04-20,48.75
2018-04-23,53.75
2018-04-24,72.5
2018-04-25,45.0
2018-04-26,54.62703
2018-04-27,47.5
2018-04-30,49.375
2018-05-02,49.0625
2018-05-03,51.005386
2018-05-04,48.75
2018-05-07,54.375
2018-05-08,51.25
2018-05-09,47.5
2018-05-10,52.5
2018-05-11,51.875
2018-05-14,55.66047
2018-05-15,52.26589
2018-05-16,56.25
2018-05-17,55.0
2018-05-18,57.5
2018-05-21,61.875
2018-05-22,57.5
2018-05-23,63.125
2018-05-24,60.0
2018-05-25,65.0
2018-05-28,82.5
2018-05-29,90.0
2018-05-30,97.5
2018-05-31,61.875
2018-06-01,70.0
2018-06-04,67.8125
2018-06-05,74.375
2018-06-06,63.035545
2018-06-07,64.375
2018-06-08,66.25
2018-06-11,68.125
2018-06-12,65.48612
2018-06-13,63.125
2018-06-14,56.25
2018-06-15,55.0
2018-06-18,60.0
2018-06-19,56.25
2018-06-20,61.25
2018-06-21,57.5
2018-06-22,56.25
2018-06-25,75.0
2018-06-26,80.0
2018-06-27,95.0
2018-06-28,62.5
2018-06-29,55.625
2018-07-02,62.5
2018-07-03,59.375
2018-07-04,56.25
2018-07-05,57.5
2018-07-06,56.875
2018-07-09,57.5
2018-07-10,53.125
2018-07-11,52.5
2018-07-12,48.75
2018-07-13,50.326717
2018-07-16,54.375
2018-07-17,61.25
2018-07-18,64.375
2018-07-19,63.75
2018-07-20,58.75
2018-07-23,71.25
2018-07-24,75.0
2018-07-25,90.0
2018-07-26,54.375
2018-07-27,56.25
2018-07-30,58.125
2018-07-31,59.0625
2018-08-01,61.875
2018-08-02,61.5625
2018-08-03,61.25
2018-08-06,60.625
2018-08-07,59.375
2018-08-08,62.5
2018-08-09,66.875
2018-08-10,56.875
2018-08-13,62.5
2018-08-14,62.5
2018-08-16,53.125
2018-08-17,71.875
2018-08-20,71.875
2018-08-21,66.25
2018-08-23,65.0
2018-08-24,67.5
2018-08-27,82.5
2018-08-28,92.5
2018-08-29,90.0
2018-08-30,60.9375
2018-08-31,60.0
2018-09-03,57.8125
2018-09-04,60.0
2018-09-05,59.375
2018-09-06,62.5
2018-09-07,60.625
2018-09-10,61.25
2018-09-11,60.0
2018-09-12,55.0
2018-09-14,58.75
2018-09-17,60.0
2018-09-18,56.25
2018-09-19,51.875
2018-09-21,65.0
2018-09-24,85.0
2018-09-25,77.5
2018-09-26,70.0
2018-09-27,58.125
2018-09-28,51.875
2018-10-01,79.0625
2018-10-03,61.875
2018-10-04,40.0
2018-10-05,118.125
2018-10-08,40.0
2018-10-09,43.125
2018-10-10,98.125
2018-10-11,62.5
2018-10-12,57.957962
2018-10-15,64.0586
2018-10-16,71.76601
2018-10-17,61.25
2018-10-19,66.25
2018-10-22,68.75
2018-10-23,75.0
2018-10-24,100.0
2018-10-25,58.75
2018-10-26,58.75
2018-10-29,73.75
2018-10-30,55.625
2018-10-31,55.625
2018-11-01,49.375
2018-11-02,49.0625
2018-11-05,53.75
2018-11-06,51.875
2018-11-09,53.75
2018-11-12,54.375
2018-11-13,58.75
2018-11-14,57.5
2018-11-15,69.375
2018-11-16,51.42382
2018-11-19,53.125
2018-11-20,46.25
2018-11-21,48.75
2018-11-22,45.0
2018-11-26,60.0
2018-11-27,52.5
2018-11-28,45.0
2018-11-29,45.625
2018-11-30,47.5
2018-12-03,50.0
2018-12-04,48.125
2018-12-05,51.25
2018-12-06,53.125
2018-12-07,47.28791
2018-12-10,50.625
2018-12-11,52.5
2018-12-12,47.5
2018-12-13,48.75
2018-12-14,43.75
2018-12-17,42.5
2018-12-18,45.0
2018-12-19,42.5
2018-12-20,45.0
2018-12-21,40.0
2018-12-24,42.5
2018-12-26,55.0
2018-12-27,40.625
2018-12-28,40.0
